2025-06-07 11:43:37 | INFO     | tori.main | 🚀 Enhanced logging session started: 20250607_114337
2025-06-07 11:43:37 | INFO     | tori.main | 📂 Log directory: C:\Users\jason\Desktop\tori\kha\logs\session_20250607_114337
2025-06-07 11:43:37 | INFO     | tori.main | 📋 Multi-tenant config loaded: True
2025-06-07 11:43:37 | INFO     | tori.main | 🚀 Enhanced TORI Launcher initialized
2025-06-07 11:43:37 | INFO     | tori.main | 📂 Working directory: C:\Users\jason\Desktop\tori\kha
2025-06-07 11:43:37 | INFO     | tori.main | 🏢 Multi-tenant mode: True
2025-06-07 11:43:37 | INFO     | tori.main | Enhanced TORI Launcher started with comprehensive logging
2025-06-07 11:43:37 | INFO     | tori.main | 📊 Status: prajna_startup -> starting
2025-06-07 11:43:37 | DEBUG    | tori.main | 📋 Details: {'message': 'Starting Prajna voice system...'}
2025-06-07 11:43:37 | INFO     | tori.main | 🧠 Starting Prajna - TORI's Voice and Language Model...
2025-06-07 11:43:37 | INFO     | tori.main | 🔍 Searching for available Prajna port starting from 8001
2025-06-07 11:43:37 | INFO     | tori.main | ✅ Found available Prajna port: 8001
2025-06-07 11:43:37 | INFO     | tori.main | 🚀 Starting Prajna on port 8001 in PRODUCTION MODE...
2025-06-07 11:43:37 | INFO     | tori.main | ⏳ Waiting for Prajna to initialize (production mode)...
2025-06-07 11:43:42 | ERROR    | tori.main | ❌ Prajna process exited early with code: 1
2025-06-07 11:43:42 | WARNING  | tori.main | ⚠️ Prajna failed to start within 60 seconds
2025-06-07 11:43:42 | INFO     | tori.main | 📊 Status: prajna_startup -> failed
2025-06-07 11:43:42 | DEBUG    | tori.main | 📋 Details: {'error': 'Health check timeout'}
2025-06-07 11:52:42 | INFO     | tori.main | 🧹 Starting enhanced cleanup...
2025-06-07 11:52:42 | INFO     | tori.main | 📋 Session Summary:
2025-06-07 11:52:42 | INFO     | tori.main |    📁 Log files: C:\Users\jason\Desktop\tori\kha\logs\session_20250607_114337
2025-06-07 11:52:42 | INFO     | tori.main |    🆔 Session ID: 20250607_114337
2025-06-07 11:52:42 | INFO     | tori.main | ✅ Enhanced cleanup complete
